t,theta
7.26,0.11031653321779847
4.2299999999999995,-2.2390864164322166
0.69,2.183261606737496
6.93,-0.49339558458257937
4.29,-2.2627752253289217
2.34,0.11096587306993655
3.0,-1.046815195985536
3.9299999999999997,-2.077023002217032
6.39,-1.3535402280800883
7.29,0.1655932293274191
0.18,2.344717544030059
2.04,0.6513797899815481
2.52,-0.2210350434740493
3.63,-1.8362336773927572
6.87,-0.5994099190005715
5.9399999999999995,-1.8644191789633242
6.42,-1.3123505470108425
6.09,-1.7164234278093369
5.609999999999999,-2.115679819466939
2.73,-0.5987938126841825
6.27,-1.5094470563778537
0.32999999999999996,2.317446820388447
3.57,-1.7778973046844584
3.06,-1.1384696090053765
1.05,1.9426970707739983
1.71,1.1833421295050288
5.069999999999999,-2.3303394932727035
1.95,0.804769146087455
0.03,2.355876275528086
3.5999999999999996,-1.8075025965560674
7.17,-0.05590903837509392
1.26,1.7476005583691139
3.15,-1.2697859535607166
3.96,-2.096630976343433
6.359999999999999,-1.3938500316942248
0.51,2.2628441834763873
1.14,1.8642625323120423
3.9899999999999998,-2.1154607216746615
1.5899999999999999,1.353304661302369
4.92,-2.3511100692736626
5.64,-2.096859529152697
3.84,-2.0134445983689946
1.02,1.9671536488609247
0.84,2.0967493873486407
5.49,-2.1833471308316934
3.42,-1.6165715616258298
4.89,-2.3533366208675175
4.53,-2.3302725192190037
0.9299999999999999,2.0355717259132473
6.029999999999999,-1.778258682085784
